name;date;time;stage
Das Blühende Leben;Mittwoch;15:15;Seebühne
Engst;Mittwoch;16:15;Seebühne
Kapelle Petra;Mittwoch;17:30;Seebühne
Montreal;Mittwoch;19:00;Seebühne
Alkaline Trio;Mittwoch;20:30;Seebühne
Madsen;Mittwoch;22:30;Seebühne
Open Flair Eröffnungsshow;Donnerstag;13:45;E-Werk
Holland;Donnerstag;15:00;Hofbühne
Kinderzirkus Fantasia;Donnerstag;16:00;Kleinkunstzelt
Kai Bosch;Donnerstag;16:00;E-Werk
KMPFSPRT;Donnerstag;16:30;Seebühne
Nikra;Donnerstag;17:00;Hofbühne
Leftovers;Donnerstag;18:00;Seebühne
Das Geld liegt auf der Festerbank, Marie;Donnerstag;18:00;E-Werk
Okan Seese;Donnerstag;18:00;Kleinkunstzelt
Varley;Donnerstag;19:00;Hofbühne
Red Fang;Donnerstag;19:30;Seebühne
Tice;Donnerstag;20:00;E-Werk
Florian Schroeder;Donnerstag;20:00;Kleinkunstzelt
YU;Donnerstag;21:00;Hofbühne
102 Boyz;Donnerstag;21:00;Seebühne
Simon & Jan;Donnerstag;22:00;Kleinkunstzelt
Remote Bondage;Donnerstag;22:00;E-Werk
Bilderbuch;Donnerstag;22:30;Seebühne
Adam Angst;Freitag;00:30;Seebühne
Jungfrau Männlich Deluxe;Freitag;13:00;Radio Bob Bühne
Hooligans Gegen Satzbau;Freitag;13:30;E-Werk
Kind Kaputt;Freitag;13:30;Freibühne
Archie Clapp;Freitag;14:15;Kleinkunstzelt
Talco;Freitag;14:15;Radio Bob Bühne
Frau Supertramp;Freitag;14:30;Hofbühne
Rikas;Freitag;15:15;Freibühne
Jazz Slam;Freitag;15:30;E-Werk
AUGN;Freitag;15:45;Seebühne
Falk;Freitag;16:15;Kleinkunstzelt
Bukahara;Freitag;16:15;Radio Bob Bühne
Grundhass;Freitag;16:30;Hofbühne
Tequila & the Sunrise Gang;Freitag;17:00;Seebühne
Tyna;Freitag;17:15;Freibühne
Katjana Gerz und Charlotte Hübsch;Freitag;17:30;E-Werk
Rainald Grebe;Freitag;18:15;Kleinkunstzelt
Provinz;Freitag;18:15;Radio Bob Bühne
Janiz;Freitag;18:15;Seebühne
Elena Rud;Freitag;18:30;Hofbühne
100 Kilo Herz;Freitag;19:15;Freibühne
Marie Curry;Freitag;19:30;E-Werk
Annisokay;Freitag;19:45;Seebühne
El Hotzo;Freitag;20:15;Kleinkunstzelt
